date,return,nav
4/24/2025,-0.0088,1
4/25/2025,-0.00134,0.9912
4/28/2025,-0.00284,0.98987
4/29/2025,-0.00382,0.98706
5/1/2025,-0.01178,0.98329
5/2/2025,-0.01625,0.97171
5/12/2025,-0.0065,0.95592
5/13/2025,0.00032,0.9497
5/14/2025,0.00829,0.95001
5/16/2025,0.0227,0.95788
5/19/2025,0.02012,0.97963
5/20/2025,0.0097,0.99934
5/21/2025,0.01338,1.00903
5/22/2025,0.0154,1.02253
5/23/2025,0.0028,1.03828
5/26/2025,0.0014,1.04119
5/27/2025,0.0047,1.04264
5/28/2025,0.0053,1.04754
5/29/2025,0.0089,1.0531
5/30/2025,0.0139,1.06247
6/2/2025,0.0169,1.08043
6/3/2025,0.0127,1.09415
6/4/2025,0.0183,1.11417
6/5/2025,0.0249,1.14191
6/6/2025,0.029,1.17503
6/9/2025,0.0572,1.24224
6/10/2025,0.0565,1.31243
6/11/2025,0.0493,1.37713
6/12/2025,0.0339,1.42381
6/13/2025,0.025,1.45941
6/16/2025,0.0398,1.51749
6/17/2025,0.0308,1.56423
6/18/2025,0.0288,1.60928
6/19/2025,0.016,1.63503
6/20/2025,0.0195,1.66691
6/23/2025,0.0263,1.71075
6/24/2025,0.0338,1.76858
6/25/2025,0.0406,1.84038
6/26/2025,0.0385,1.91124
6/27/2025,0.0441,1.99552
6/30/2025,0.0576,2.11061
7/1/2025,0.0588,
7/2/2025,0.0504,
7/3/2025,0.0521,
7/4/2025,0.049,
7/7/2025,0.0508,
7/8/2025,0.0494,
7/9/2025,0.0546,
